code,formation_datetime,formation_lat,formation_lon
AL032023,2023-06-19 06:00:00,10.7,322.7
AL032024,2024-06-30 18:00:00,19.7,264.6
AL041851,1851-08-16 00:00:00,13.4,312.0
AL041852,1852-09-22 00:00:00,16.1,301.5
AL041853,1853-09-08 00:00:00,37.0,307.0
AL041854,1854-09-18 00:00:00,28.2,266.4
AL041855,1855-08-24 00:00:00,12.0,304.1
AL041856,1856-08-21 12:00:00,23.0,277.5
AL041857,1857-09-24 00:00:00,16.0,305.3
AL041858,1858-09-17 00:00:00,18.4,318.6
AL041859,1859-09-12 06:00:00,35.5,302.5
AL041860,1860-09-11 00:00:00,25.1,276.2
AL041861,1861-09-17 12:00:00,28.5,310.0
AL041862,1862-10-06 00:00:00,13.0,299.0
AL041863,1863-08-27 00:00:00,29.5,284.5
AL041864,1864-09-05 00:00:00,33.0,287.5
AL041865,1865-09-06 00:00:00,16.0,304.5
